"name","lng","lat","state","sector_label"
"Appalachian College of Pharmacy",-82.005227,37.211496,"VA","Private"
"Appalachian School of Law",-82.096426,37.278007,"VA","Private"
"Appalachian State University",-81.680234,36.214844,"NC","Public"
"Aquinas College",-85.626166,42.960449,"MI","Private"
"Aquinas College",-86.844214,36.132187,"TN","Private"
"Aquinas Institute of Theology",-90.237365,38.635008,"MO","Private"
"Arcadia University",-75.165205,40.091941,"PA","Private"
"Argosy University-Atlanta",-84.356001,33.92006,"GA","For-Profit"
"Argosy University-Chicago",-87.623772,41.886006,"IL","For-Profit"
"Argosy University-Dallas",-96.823046,32.926742,"TX","For-Profit"
"Argosy University-Denver",-104.901681,39.65615,"CO","For-Profit"
"Argosy University-Hawaii",-157.860916,21.308026,"HI","For-Profit"
"Argosy University-Inland Empire",-117.578381,34.06641,"CA","For-Profit"
"Argosy University-Los Angeles",-118.373038,33.927857,"CA","For-Profit"
"Argosy University-Nashville",-86.634674,36.154664,"TN","For-Profit"
"Argosy University-Orange County",-117.897468,33.779113,"CA","For-Profit"
"Argosy University-Phoenix",-112.107455,33.5669,"AZ","For-Profit"
"Argosy University-Phoenix Online Division",-112.107494,33.566817,"AZ","For-Profit"
"Argosy University-Salt Lake City",-111.895536,40.534344,"UT","For-Profit"
"Argosy University-San Diego",-117.158047,32.775512,"CA","For-Profit"
"Argosy University-San Francisco Bay Area",-122.267523,37.781238,"CA","For-Profit"
"Argosy University-Sarasota",-82.465363,27.351394,"FL","For-Profit"
"Argosy University-Schaumburg",-88.042083,42.046739,"IL","For-Profit"
"Argosy University-Seattle",-122.351734,47.613924,"WA","For-Profit"
"Argosy University-Tampa",-82.482545,27.955166,"FL","For-Profit"
"Argosy University-The Art Institute of California-Hollywood",-118.299126,34.061265,"CA","For-Profit"
"Argosy University-The Art Institute of California-Inland Empire",-117.270681,34.07184,"CA","For-Profit"
"Argosy University-The Art Institute of California-Los Angeles",-118.451869,34.019215,"CA","For-Profit"
"Argosy University-The Art Institute of California-Orange County",-117.916303,33.697014,"CA","For-Profit"
"Argosy University-The Art Institute of California-Sacramento",-121.519083,38.62211,"CA","For-Profit"
"Argosy University-The Art Institute of California-San Diego",-117.155395,32.778278,"CA","For-Profit"
"Argosy University-The Art Institute of California-San Francisco",-122.417185,37.803958,"CA","For-Profit"
"Argosy University-The Art Institute of California-Silicon Valley",-121.99938,37.37317,"CA","For-Profit"
"Argosy University-Twin Cities",-93.173871,44.837284,"MN","For-Profit"
"Argosy University-Washington DC",-77.075927,38.894272,"VA","For-Profit"
"Arizona Christian University",-112.026211,33.595117,"AZ","Private"
"Arizona College-Las Vegas",-115.171331,36.1456,"NV","For-Profit"
"Arizona College-Mesa",-111.874356,33.418379,"AZ","For-Profit"
"Arizona School of Acupuncture and Oriental Medicine",-110.929241,32.26463,"AZ","For-Profit"
"Arizona State University-Downtown Phoenix",-112.073231,33.45343,"AZ","Public"
"Arizona State University-Polytechnic",-111.685485,33.307114,"AZ","Public"
"Arizona State University-Skysong",-111.924051,33.46268,"AZ","Public"
"Arizona State University-Tempe",-111.934629,33.422247,"AZ","Public"
"Arizona State University-West",-112.161271,33.6096,"AZ","Public"
"Arizona Summit Law School",-112.073152,33.44871,"AZ","For-Profit"
"Arkansas Baptist College",-92.290555,34.734751,"AR","Private"
"Arkansas State University-Main Campus",-90.680478,35.842779,"AR","Public"
"Arkansas Tech University",-93.13233,35.295227,"AR","Public"
"Arlington Baptist College",-97.155661,32.739543,"TX","Private"
"Armstrong State University",-81.160409,31.978109,"GA","Public"
"Art Academy of Cincinnati",-84.497573,39.108382,"OH","Private"
"Art Center College of Design",-118.186901,34.170844,"CA","Private"
"Asbury Theological Seminary",-84.661862,37.863704,"KY","Private"
"Asbury University",-84.662606,37.862029,"KY","Private"
"Ashford University",-117.141961,32.8273,"CA","For-Profit"
"Ashland University",-82.320621,40.860987,"OH","Private"
"Aspen University",-104.939873,39.703696,"CO","For-Profit"
"Assemblies of God Theological Seminary",-93.26151,37.224401,"MO","Private"
"Assumption College",-71.828387,42.295435,"MA","Private"
"Atenas College",-66.473799,18.43328,"PR","Private"
"Athenaeum of Ohio",-84.375556,39.084199,"OH","Private"
"Athens State University",-86.96514,34.805625,"AL","Public"
"Atlanta Metropolitan State College",-84.404659,33.70893,"GA","Public"
"Atlanta's John Marshall Law School",-84.38777,33.793388,"GA","For-Profit"
"Atlantic Institute of Oriental Medicine",-80.142235,26.121964,"FL","Private"
"Atlantic University College",-66.111714,18.357395,"PR","Private"
"Atlantis University",-80.18916,25.788556,"FL","For-Profit"
"Auburn University",-85.482782,32.604685,"AL","Public"
"Auburn University at Montgomery",-86.177351,32.369939,"AL","Public"
"Augsburg College",-93.241418,44.965636,"MN","Private"
"Augusta University",-81.988361,33.47145,"GA","Public"
"Augustana College",-90.552402,41.500326,"IL","Private"
"Augustana University",-96.738507,43.525939,"SD","Private"
"Aultman College of Nursing and Health Sciences",-81.404182,40.796865,"OH","Private"
"Aurora University",-88.349469,41.754465,"IL","Private"
"Austin College",-96.598772,33.646307,"TX","Private"
"Austin Graduate School of Theology",-97.711706,30.343788,"TX","Private"
"Austin Peay State University",-87.354081,36.533319,"TN","Public"
"Austin Presbyterian Theological Seminary",-97.737752,30.292635,"TX","Private"
"Ave Maria School of Law",-81.731045,26.24209,"FL","Private"
"Ave Maria University",-81.441082,26.33711,"FL","Private"
"Averett University",-79.413214,36.577273,"VA","Private"
"Averett University-Non-Traditional Programs",-79.413195,36.577257,"VA","Private"
"Avila University",-94.591387,38.912159,"MO","Private"
"Azusa Pacific University",-117.88795,34.130865,"CA","Private"
"Azusa Pacific University College",-117.827131,34.11062,"CA","Private"
"Babson College",-71.269479,42.296529,"MA","Private"
"Bacone College",-95.335337,35.77707,"OK","Private"
"Bainbridge State College",-84.535049,30.899474,"GA","Public"
"Bais Binyomin Academy",-73.534604,41.059922,"CT",NA
