"zipcode","returns","income","mean_income"
"28745",690,41444000,60063.768115942
"27281",1090,65238000,59851.376146789
"27837",2350,140516000,59794.0425531915
"28107",3420,203597000,59531.2865497076
"27973",640,37941000,59282.8125
"27541",1730,102502000,59249.710982659
"27313",3120,184503000,59135.5769230769
"28120",9660,570635000,59071.9461697723
"27214",5200,307160000,59069.2307692308
"28582",850,49815000,58605.8823529412
"27606",20540,1203359000,58586.1246348588
"28129",2400,140463000,58526.25
"28712",7770,453855000,58411.1969111969
"27592",7020,409044000,58268.3760683761
"28450",930,54172000,58249.4623655914
"28689",830,48162000,58026.5060240964
"28115",16950,980967000,57874.1592920354
"28556",370,21413000,57872.972972973
"28422",3050,175937000,57684.262295082
"28394",2260,129804000,57435.3982300885
"28467",4720,270438000,57296.186440678
"28080",3250,186048000,57245.5384615385
"28327",6910,395004000,57164.1099855282
"28791",6590,376364000,57111.3808801214
"28676",1530,86896000,56794.7712418301
"28722",2840,160743000,56599.6478873239
"27850",2830,160087000,56567.8445229682
"28510",700,39565000,56521.4285714286
"28269",37020,2087579000,56390.5726634252
"28445",3790,213609000,56361.2137203166
"27370",6510,366850000,56351.7665130568
"27529",21790,1221407000,56053.5566773749
"27941",290,16231000,55968.9655172414
"27249",5730,320577000,55947.1204188482
"28805",9070,506892000,55886.6593164278
"27302",13350,744773000,55788.2397003745
"28134",5240,291085000,55550.572519084
"27804",13140,729662000,55529.8325722983
"28460",4730,262504000,55497.6744186046
"27233",1500,83232000,55488
"27954",3240,179458000,55388.2716049383
"27522",5860,324314000,55343.6860068259
"27964",280,15401000,55003.5714285714
"28773",1420,77677000,54702.1126760563
"27601",4000,218739000,54684.75
"27583",3120,170583000,54674.0384615385
"28516",5220,285227000,54641.1877394636
"28607",11010,600537000,54544.6866485014
"27050",1810,98502000,54420.9944751381
"27880",1480,80508000,54397.2972972973
"28609",2620,142433000,54363.7404580153
"28124",2870,155669000,54240.0696864112
"28479",2350,127406000,54215.3191489362
"28163",2180,118126000,54186.2385321101
"28412",17900,967950000,54075.4189944134
"28025",22370,1208544000,54025.2123379526
"28801",6940,374753000,53998.9913544669
"28718",290,15649000,53962.0689655172
"27520",17780,958070000,53884.701912261
"28790",1310,70495000,53812.9770992366
"28787",9740,524126000,53811.704312115
"28097",2630,141208000,53691.2547528517
"27817",3230,173358000,53671.2074303406
"27932",5420,289431000,53400.5535055351
"28715",11630,618078000,53145.1418744626
"27301",4460,237021000,53143.7219730942
"28395",1130,60024000,53118.5840707965
"27510",7860,416987000,53051.7811704835
"27701",9720,514377000,52919.4444444444
"28711",6070,321084000,52896.8698517298
"28110",22340,1181222000,52874.7538048344
"27283",1480,78231000,52858.7837837838
"27814",670,35391000,52822.3880597015
"27041",3290,173768000,52817.0212765957
