"","country","year","hourly_compensation"
"134","Spain","1984.0",4.44999980926514
"135","Sri Lanka","1984.0",0.25
"136","Sweden","1984.0",9.10000038146973
"137","Switzerland","1984.0",9.52000045776367
"138","Taiwan","1984.0",1.46000003814697
"139","United Kingdom","1984.0",5.98999977111816
"140","United States","1984.0",12.2700004577637
"141","Australia","1985.0",8.18000030517578
"142","Austria","1985.0",7.57000017166138
"143","Belgium","1985.0",8.21000003814697
"144","Canada","1985.0",11.1999998092651
"145","Denmark","1985.0",8.02999973297119
"146","Finland","1985.0",8.30000019073486
"147","France","1985.0",7.46999979019165
"148","Greece","1985.0",3.65000009536743
"149","Hong Kong, China","1985.0",1.73000001907349
"150","Ireland","1985.0",6.21999979019165
"151","Israel","1985.0",3.65000009536743
"152","Italy","1985.0",7.55999994277954
"153","Japan","1985.0",6.26999998092651
"154","Korea, Rep.","1985.0",1.23000001907349
"155","Luxembourg","1985.0",7.42999982833862
"156","Mexico","1985.0",1.5900000333786
"157","Netherlands","1985.0",8.72999954223633
"158","New Zealand","1985.0",4.55000019073486
"159","Norway","1985.0",10.4700002670288
"160","Portugal","1985.0",1.48000001907349
"161","Singapore","1985.0",2.54999995231628
"162","Spain","1985.0",4.6399998664856
"163","Sri Lanka","1985.0",0.28000000119209
"164","Sweden","1985.0",9.57999992370606
"165","Switzerland","1985.0",9.55000019073486
"166","Taiwan","1985.0",1.50999999046326
"167","United Kingdom","1985.0",6.21999979019165
"168","United States","1985.0",12.710000038147
"169","Australia","1986.0",8.55000019073486
"170","Austria","1986.0",10.7200002670288
"171","Belgium","1986.0",11.25
"172","Canada","1986.0",11.3299999237061
"173","Denmark","1986.0",10.9499998092651
"174","Finland","1986.0",10.7700004577637
"175","France","1986.0",10.210000038147
"176","Greece","1986.0",4.05999994277954
"177","Hong Kong, China","1986.0",1.87999999523163
"178","Ireland","1986.0",8.39000034332275
"179","Israel","1986.0",4.67000007629394
"180","Italy","1986.0",10.3699998855591
"181","Japan","1986.0",9.13000011444092
"182","Korea, Rep.","1986.0",1.29999995231628
"183","Luxembourg","1986.0",10.3199996948242
"184","Mexico","1986.0",1.0900000333786
"185","Netherlands","1986.0",12.210000038147
"186","New Zealand","1986.0",5.59000015258789
"187","Norway","1986.0",13.3599996566772
"188","Portugal","1986.0",2
"189","Singapore","1986.0",2.23000001907349
"190","Spain","1986.0",6.21000003814697
"191","Sri Lanka","1986.0",0.28999999165535
"192","Sweden","1986.0",12.3100004196167
"193","Switzerland","1986.0",13.6199998855591
"194","Taiwan","1986.0",1.73000001907349
"195","United Kingdom","1986.0",7.59000015258789
"196","United States","1986.0",12.9899997711182
"197","Australia","1987.0",9.52000045776367
"198","Austria","1987.0",13.6499996185303
"199","Belgium","1987.0",13.960000038147
"200","Canada","1987.0",12.3000001907349
"201","Denmark","1987.0",14.0900001525879
"202","Finland","1987.0",13.4499998092651
"203","France","1987.0",12.1899995803833
"204","Greece","1987.0",4.59999990463257
"205","Hong Kong, China","1987.0",2.09999990463257
"206","Ireland","1987.0",9.72000026702881
"207","Israel","1987.0",5.69000005722046
"208","Italy","1987.0",12.8900003433228
"209","Japan","1987.0",10.6800003051758
"210","Korea, Rep.","1987.0",1.5900000333786
"211","Luxembourg","1987.0",12.710000038147
"212","Mexico","1987.0",1.03999996185303
"213","Netherlands","1987.0",15.1400003433228
"214","New Zealand","1987.0",6.86999988555908
"215","Norway","1987.0",16.9300003051758
"216","Portugal","1987.0",2.4300000667572
"217","Singapore","1987.0",2.29999995231628
"218","Spain","1987.0",7.57999992370606
"219","Sri Lanka","1987.0",0.30000001192093
"220","Sweden","1987.0",15
"221","Switzerland","1987.0",16.8999996185303
"222","Taiwan","1987.0",2.25999999046326
"223","United Kingdom","1987.0",9.01000022888184
"224","United States","1987.0",13.3000001907349
"225","Australia","1988.0",11.4399995803833
"226","Austria","1988.0",14.4899997711182
"227","Belgium","1988.0",14.7200002670288
"228","Canada","1988.0",13.7700004577637
"229","Denmark","1988.0",15.0799999237061
"230","Finland","1988.0",15.6499996185303
"231","France","1988.0",12.8400001525879
"232","Greece","1988.0",5.1399998664856
"233","Hong Kong, China","1988.0",2.41000008583069
"234","Ireland","1988.0",10.4300003051758
"235","Israel","1988.0",6.88000011444092
"236","Italy","1988.0",13.8500003814697
"237","Japan","1988.0",12.5
"238","Korea, Rep.","1988.0",2.20000004768372
"239","Luxembourg","1988.0",13.5299997329712
"240","Mexico","1988.0",1.24000000953674
"241","Netherlands","1988.0",15.789999961853
"242","New Zealand","1988.0",8.30000019073486
"243","Norway","1988.0",18.6000003814697
"244","Portugal","1988.0",2.6800000667572
"245","Singapore","1988.0",2.74000000953674
"246","Spain","1988.0",8.48999977111816
"247","Sri Lanka","1988.0",0.31000000238419
"248","Sweden","1988.0",16.6800003051758
"249","Switzerland","1988.0",17.8099994659424
"250","Taiwan","1988.0",2.79999995231628
"251","United Kingdom","1988.0",10.5200004577637
"252","United States","1988.0",13.6099996566772
"253","Australia","1989.0",12.5
"254","Austria","1989.0",14.1499996185303
"255","Belgium","1989.0",14.3699998855591
"256","Canada","1989.0",15.0600004196167
"257","Denmark","1989.0",14.4700002670288
"258","Finland","1989.0",16.7800006866455
"259","France","1989.0",12.539999961853
"260","Greece","1989.0",5.42000007629394
"261","Hong Kong, China","1989.0",2.80999994277954
"262","Ireland","1989.0",10.0100002288818
"263","Israel","1989.0",6.90000009536743
"264","Italy","1989.0",14.3400001525879
"265","Japan","1989.0",12.3900003433228
"266","Korea, Rep.","1989.0",3.16000008583069
"267","Luxembourg","1989.0",13.2299995422363
"268","Mexico","1989.0",1.41999995708466
"269","Netherlands","1989.0",14.9300003051758
"270","New Zealand","1989.0",7.92000007629394
"271","Norway","1989.0",18.5
"272","Portugal","1989.0",2.84999990463257
"273","Singapore","1989.0",3.15000009536743
"274","Spain","1989.0",8.89999961853027
"275","Sri Lanka","1989.0",0.31000000238419
"276","Sweden","1989.0",17.3700008392334
"277","Switzerland","1989.0",16.5400009155273
"278","Taiwan","1989.0",3.5
"279","United Kingdom","1989.0",10.4099998474121
"280","United States","1989.0",14.039999961853
"281","Australia","1990.0",13.0900001525879
"282","Austria","1990.0",17.7199993133545
"283","Belgium","1990.0",17.8500003814697
"284","Canada","1990.0",16.3299999237061
"285","Denmark","1990.0",18.2900009155273
"286","Finland","1990.0",20.8400001525879
"287","France","1990.0",15.3500003814697
"288","Greece","1990.0",6.69000005722046
"289","Hong Kong, China","1990.0",3.22000002861023
"290","Ireland","1990.0",12.1099996566772
"291","Israel","1990.0",7.69000005722046
"292","Italy","1990.0",17.6800003051758
"293","Japan","1990.0",12.5900001525879
"294","Korea, Rep.","1990.0",3.70000004768372
"295","Luxembourg","1990.0",15.8999996185303
"296","Mexico","1990.0",1.57000005245209
"297","Netherlands","1990.0",17.9799995422363
"298","New Zealand","1990.0",8.47999954223633
"299","Norway","1990.0",21.7600002288818
"300","Portugal","1990.0",3.60999989509582
"301","Singapore","1990.0",3.77999997138977
"302","Spain","1990.0",11.3000001907349
"303","Sri Lanka","1990.0",0.34999999403954
"304","Sweden","1990.0",20.75
"305","Switzerland","1990.0",20.6299991607666
"306","Taiwan","1990.0",3.91000008583069
"307","United Kingdom","1990.0",12.460000038147
"308","United States","1990.0",14.8100004196167
"309","Australia","1991.0",13.6700000762939
"310","Austria","1991.0",18.0400009155273
"311","Belgium","1991.0",18.3999996185303
"312","Canada","1991.0",17.6900005340576
"313","Denmark","1991.0",18.5499992370605
"314","Finland","1991.0",20.7299995422363
"315","France","1991.0",15.5200004577637
"316","Greece","1991.0",6.84999990463257
"317","Hong Kong, China","1991.0",3.5699999332428
"318","Ireland","1991.0",12.3699998855591
"319","Israel","1991.0",7.90000009536743
"320","Italy","1991.0",18.7399997711182
"321","Japan","1991.0",14.5100002288818
"322","Korea, Rep.","1991.0",4.6100001335144
"323","Luxembourg","1991.0",16.2700004577637
"324","Mexico","1991.0",1.83000004291534
"325","Netherlands","1991.0",18.0599994659424
"326","New Zealand","1991.0",8.52000045776367
